x,y,width
3.752966784,0.796414956,0.18
3.763719364,0.800542236,0.18
3.7744237,0.80479308,0.18
3.785078364,0.809166932,0.18
3.795681952,0.813663204,0.18
3.806233048,0.8182813,0.18
3.816730256,0.823020612,0.18
3.827172184,0.827880512,0.18
3.837557444,0.832860348,0.18
3.847884664,0.837959468,0.18
3.858152472,0.843177188,0.18
3.868359504,0.84851282,0.18
3.878504404,0.853965656,0.18
3.888585832,0.859534972,0.18
3.898602448,0.865220028,0.18
3.908568316,0.870916128,0.18
3.918631508,0.876518324,0.18
3.928758556,0.882004252,0.18
3.938948112,0.88737318,0.18
3.949198832,0.892624392,0.18
3.959509348,0.897757196,0.18
3.9698783,0.902770912,0.18
3.980304304,0.907664876,0.18
3.990785984,0.912438432,0.18
4.001321948,0.917090952,0.18
4.011910796,0.921621816,0.18
4.022551128,0.926030424,0.18
4.033241528,0.930316196,0.18
4.04398058,0.934478556,0.18
4.054766856,0.938516956,0.18
4.065598932,0.94243086,0.18
4.076475364,0.946219748,0.18
4.087394712,0.949883116,0.18
4.098355532,0.95342048,0.18
4.10935636,0.956831372,0.18
4.120395748,0.960115336,0.18
4.131472224,0.96327194,0.18
4.14258432,0.966300764,0.18
4.153730564,0.969201404,0.18
4.164909476,0.97197348,0.18
4.176119572,0.97461662,0.18
4.187359368,0.977130472,0.18
4.198627372,0.979514708,0.18
4.209922088,0.981769008,0.18
4.221242016,0.983893076,0.18
4.23258566,0.985886624,0.18
4.243951508,0.987749396,0.18
4.25533806,0.98948114,0.18
4.2667438,0.991081624,0.18
4.278167216,0.99255064,0.18
4.289606796,0.993887992,0.18
4.301061016,0.9950935,0.18
4.312528364,0.996167012,0.18
4.324007316,0.997108376,0.18
4.335496344,0.997917472,0.18
4.346993932,0.998594192,0.18
4.358498552,0.999138444,0.18
4.370008676,0.99955016,0.18
4.38152278,0.99982928,0.18
4.393039332,0.999975776,0.18
4.404556824,1,0.18
4.416074372,1,0.18
4.427591924,1,0.18
4.439109472,1,0.18
4.45062702,1,0.18
4.462144568,1,0.18
4.473662116,1,0.18
4.485179668,1,0.18
4.496697216,1,0.18
4.508214764,1,0.18
4.519732312,1,0.18
4.53124986,1,0.18
4.542767412,1,0.18
4.55428496,1,0.18
4.565802508,1,0.18
4.577320056,1,0.18
4.588837608,1,0.18
4.600355156,1,0.18
4.611872704,1,0.18
4.623390252,1,0.18
4.6349078,1,0.18
4.646425352,1,0.18
4.6579429,1,0.18
4.669460448,1,0.18
4.680977996,1,0.18
4.692495544,1,0.18
4.704013096,1,0.18
4.715530644,1,0.18
4.727048192,1,0.18
4.73856574,1,0.18
4.750083292,1,0.18
4.76160084,1,0.18
4.773118388,1,0.18
4.784635936,1,0.18
4.796153484,1,0.18
4.807671036,1,0.18
4.819188584,1,0.18
4.830706132,1,0.18
4.84222368,1,0.18
4.853741232,1,0.18
4.86525878,1,0.18
4.876776328,1,0.18
4.888293876,1,0.18
4.899811424,1,0.18
4.911328976,1,0.18
4.922846524,1,0.18
4.934364072,1,0.18
4.94588162,1,0.18
4.957399168,1,0.18
4.96891672,1,0.18
4.980434268,1,0.18
4.991951816,1,0.18
5.003469364,1,0.18
5.014986916,1,0.18
5.026504464,1,0.18
5.038022012,1,0.18
5.04953956,1,0.18
5.061057108,1,0.18
5.07257466,1,0.18
5.084092208,1,0.18
5.095609756,1,0.18
5.107127304,1,0.18
5.118644856,1,0.18
5.130162404,1,0.18
5.141679952,1,0.18
5.1531975,1,0.18
5.164715048,1,0.18
5.1762326,1,0.18
5.187750148,1,0.18
5.199267696,1,0.18
5.210785244,1,0.18
5.222302792,1,0.18
5.233820344,1,0.18
5.245337892,1,0.18
5.25685544,1,0.18
5.268372988,1,0.18
5.27989054,1,0.18
5.291408088,1,0.18
5.302925636,1,0.18
5.314443184,1,0.18
5.325960732,1,0.18
5.337478284,1,0.18
